"This table was generated by identifying all the sources of total nitrogen, total phospohorous, and suspended sediment in the 2012 regional SPARROW models and manually assigning them to generalized source categories based on interpreation of the reports assoicated with each model (Ator, S.W., 2019, Spatially referenced models of streamflow and nitrogen, phosphorus, and suspended-sediment loads in streams of the Northeastern United States: U.S. Geological Survey Scientific Investigations Report 20195118, 57 p., https://doi.org/10.3133/sir20195118.

Hoos, A.B., and Roland, V.L. II, 2019, Spatially referenced models of streamflow and nitrogen, phosphorus, and suspended-sediment loads in the Southeastern United States: U.S. Geological Survey Scientific Investigations Report 2019–5135, 87 p., https://doi.org/10.3133/sir20195135.
PAC,tp,il_tp_graz,"Incremental total phosphorus load from grazing cattle manure applied to pasture and rangeland, kg/yr",Fertilizer and manure
PAC,tp,il_tp_geo,"Incremental total phosphorus from weathering of upland geologic material, kg/yr",Geologic sources
PAC,tp,il_tp_spr,"Incremental total phosphorus from spring discharge, kg/yr",Springs
PAC,tp,il_tp_chan,"Incremental total phosphorus load from channel sources, kg/yr",Stream channel
PAC,tp,il_tp_urb,"Incremental total phosphorus load from urban land, kg/yr",Developed
PAC,tp,il_tp_wwtp,"Incremental total phosphorus load from wastewater treatment facility discharge, kg/yr",Wastewater
SE,ss,il_ss_ursag,"Incremental suspended-sediment load from upland: Residuum in sedimentary rocks (discontinuous) intersected with Agricultural (Cropland and Pasture), MT/yr",Agricultural lands
SE,ss,il_ss,"Incremental total suspended-sediment load from all sources, MT/yr",All sources
SE,ss,il_ss_ufor,"Incremental suspended-sediment load from upland: All surficial geology categories intersected with Forest (in other words, all Forested land), MT/yr",Forests
SE,ss,il_ss_usotherag,"Incremental suspended-sediment load from upland: All surficial geology categoriesï¿½ï¿½except Residuum in sedimentary rock (discontinuous) intersected with Agricultural (Cropland and Pasture), MT/yr",Agricultural lands
SE,ss,il_ss_uigsrafor,"Incremental suspended-sediment load from upland: Residuum in igneous, metamorphic, sedimentary (discontinuous), and very fine-grained sedimentary rock, and alluvium, intersected with Shrub, Scrub, Herbaceous, and Barren, MT/yr",Shrub lands
SE,ss,il_ss_usotherbsh,"Incremental suspended-sediment load from upland: All other surficial geology categories (Fine and medium grained sediments, also Residual materials in alluvium and in carbonate and fine-grained sedimentary rock) intersected with Shrub, Scrub, Herbaceous, and Barren, MT/yr",Shrub lands
SE,ss,il_ss_chan,"Incremental suspended-sediment load from channel sources, MT/yr",Stream channel
SE,ss,il_ss_uigsra,"Incremental suspended-sediment load from upland: Residuum in igneous, metamorphic, and very fine-grained sedimentary rock, and alluvium, intersected with Urban, MT/yr",Developed
SE,ss,il_ss_uris,"Incremental suspended-sediment load from upland: Residuum in sedimentary rocks (discontinuous) intersected with Urban, MT/yr",Developed
SE,ss,il_ss_usother,"Incremental suspended-sediment load from upland: All other surficial geology categories (Fine and medium grained sediments, also Residuum in alluvium and in carbonate and fine-grained sedimentary rock) intersected with Urban, MT/yr",Developed
SE,tn,il_tn,"Incremental total nitrogen load from all sources, kg/yr",All sources
SE,tn,il_tn_atm,"Incremental total nitrogen load from atmospheric deposition, kg/yr",Atmospheric deposition
SE,tn,il_tn_fert,"Incremental total nitrogen load from farm fertilizer, kg/yr",Fertilizer and manure
SE,tn,il_tn_man,"Incremental total nitrogen load from manure, kg/yr",Fertilizer and manure
SE,tn,il_tn_urb,"Incremental total nitrogen load from urban land, kg/yr",Developed
SE,tn,il_tn_wwtp,"Incremental nitrogen load from wastewater treatment facility point sources, kg/yr",Wastewater
SE,tp,il_tp,"Incremental total phosphorous load from all sources, kg/yr",All sources
