"Region_nam","year","regionSupply_mm","regionDemand_mm"
"Souris-Red-Rainy","2020",61.2754058147423,6.89846025515343
"Southern High Plains","2009",81.0450875425923,5.90497101907103
"Southern High Plains","2010",53.765711579306,31.0583545543122
"Southern High Plains","2011",22.6300928363001,32.1127062148392
"Southern High Plains","2012",23.5115785769752,32.4382515034017
"Southern High Plains","2013",48.4299104287042,28.5884134771385
"Southern High Plains","2014",28.2580997212994,29.1386894395247
"Southern High Plains","2015",119.048563119672,25.5147399382023
"Southern High Plains","2016",59.1009838853898,29.8813890454053
"Southern High Plains","2017",59.3521884121568,24.4853596199848
"Southern High Plains","2018",39.7599364081515,24.5762288425536
"Southern High Plains","2019",97.7780467853002,25.6511532137376
"Southern High Plains","2020",58.6818358115648,29.9514790707339
"Southwest Desert","2009",4.88968070823446,6.26762012308857
"Southwest Desert","2010",21.5334834826888,13.5953289684256
"Southwest Desert","2011",7.5945662290484,13.8472011920292
"Southwest Desert","2012",5.74855021585801,13.6263441548708
"Southwest Desert","2013",8.54819051610397,13.2079921659575
"Southwest Desert","2014",12.1475838657588,13.9022652816209
"Southwest Desert","2015",13.287901366269,13.3023037695883
"Southwest Desert","2016",11.1921788209428,14.0285035292712
"Southwest Desert","2017",18.0537135989414,14.1098062477676
"Southwest Desert","2018",6.98671933854675,13.2323930021515
"Southwest Desert","2019",17.0879125600689,13.2001994462174
"Southwest Desert","2020",15.2032997325524,13.8698514953334
"Tennessee-Missouri","2009",692.648917280256,1.1044006067013
"Tennessee-Missouri","2010",331.854163628409,5.14816684955766
"Tennessee-Missouri","2011",447.940163360679,5.31126991961166
"Tennessee-Missouri","2012",245.926083194164,6.50958467643558
"Tennessee-Missouri","2013",463.334737247648,4.77813210286641
"Tennessee-Missouri","2014",348.537670406888,5.02886553998039
"Tennessee-Missouri","2015",486.281916628746,4.36560305764057
"Tennessee-Missouri","2016",323.66672087378,4.21935337009864
"Tennessee-Missouri","2017",343.120210707123,4.5944100029215
"Tennessee-Missouri","2018",517.390274684018,4.74555439561402
"Tennessee-Missouri","2019",564.715205255902,3.58505473535366
"Tennessee-Missouri","2020",550.259439394531,3.50766993093201
"Texas","2009",67.123779860009,3.43116287442087
"Texas","2010",57.8629413686121,9.78326432568607
"Texas","2011",10.6292006847909,12.2630636322543
"Texas","2012",24.7414997834017,10.3592348083424
"Texas","2013",28.1724616273053,10.0590043026396
"Texas","2014",22.3262781107735,9.78001712200298
"Texas","2015",121.257668724933,8.538943610009
"Texas","2016",74.0519195555829,9.14900400517642
"Texas","2017",62.2066367328578,9.44918813436098
"Texas","2018",71.0523808735012,10.4620489104099
"Texas","2019",39.0811126033028,10.7731523355481
"Texas","2020",26.6720603065643,11.569691814748
